source,target,weight,first_seen,last_seen
host:api.usaspending.gov,label:TempXPublic,1.0,2026-05-26T13:07:57+00:00,2026-05-26T13:07:57+00:00
host:api.usaspending.gov,label:DataLinkResearch,1.0,2026-05-26T13:10:56+00:00,2026-05-26T13:10:56+00:00
host:api.usaspending.gov,label:AgentX15,2.0,2026-05-26T13:13:04+00:00,2026-05-26T13:32:23+00:00
host:api.usaspending.gov,label:ResearchUserZ2,1.0,2026-05-26T13:13:54+00:00,2026-05-26T13:13:54+00:00
host:api.usaspending.gov,label:ResearchAgent,3.0,2026-05-26T13:14:10+00:00,2026-05-26T16:31:26+00:00
host:api.usaspending.gov,label:AgentResearcher,1.0,2026-05-26T13:19:02+00:00,2026-05-26T13:19:02+00:00
host:api.usaspending.gov,label:DataResearcher88,3.0,2026-05-26T13:20:29+00:00,2026-05-26T13:23:06+00:00
host:api.usaspending.gov,label:TmpAgentLink,1.0,2026-05-26T13:23:41+00:00,2026-05-26T13:23:41+00:00
host:api.usaspending.gov,label:RefX52676266,1.0,2026-05-26T13:43:48+00:00,2026-05-26T13:43:48+00:00
host:api.usaspending.gov,label:RefHelperCTX,1.0,2026-05-26T13:46:08+00:00,2026-05-26T13:46:08+00:00
host:api.usaspending.gov,label:BridgeXYZUser,2.0,2026-05-26T13:46:09+00:00,2026-05-26T13:49:21+00:00
host:api.usaspending.gov,label:SourceHelper685660,1.0,2026-05-26T13:46:09+00:00,2026-05-26T13:46:09+00:00
host:api.usaspending.gov,label:PublicLinkIndexer,4.0,2026-05-26T13:46:42+00:00,2026-05-26T13:47:22+00:00
host:api.usaspending.gov,label:DataResearchUser,1.0,2026-05-26T13:49:19+00:00,2026-05-26T13:49:19+00:00
host:api.usaspending.gov,label:TestReadOnly123,1.0,2026-05-26T13:51:52+00:00,2026-05-26T13:51:52+00:00
host:api.usaspending.gov,label:OpenDataResearchBot,3.0,2026-05-26T13:51:55+00:00,2026-05-26T16:47:45+00:00
host:api.usaspending.gov,label:TestResearchABC,1.0,2026-05-26T13:53:38+00:00,2026-05-26T13:53:38+00:00
host:api.usaspending.gov,label:RedirectTesterABC,2.0,2026-05-26T13:54:08+00:00,2026-05-26T14:20:53+00:00
host:api.usaspending.gov,label:PivotHelperTest,1.0,2026-05-26T14:03:26+00:00,2026-05-26T14:03:26+00:00
host:api.usaspending.gov,label:CitationsAgent,1.0,2026-05-26T14:07:04+00:00,2026-05-26T14:07:04+00:00
